,population,female_id,sub_id,generation,source_box,date_done
1,AFC,1,4,F1,B,05-Dec
2,AFC,2,1,F1,C,
3,AFC,2,2,F1,C,
4,AFC,2,3,F1,C,
5,AFC,2,4,F1,C,
6,AFC,3,4,F1,B,05-Dec
7,AFC,5,2,F1,A,
8,AFC,6,2,F1,C,
9,AFC,6,3,F1,C,
10,AFC,6,4,F1,C,
11,AFC,7,3,F1,A,
12,AFC,7,4,F1,A,
13,AFC,8,1,F1,C,
14,AFC,8,2,F1,C,
15,AFC,8,3,F1,C,
16,AFC,8,4,F1,C,
17,AFC,11,1,F1,C,
18,AFC,11,2,F1,C,
19,AFC,11,3,F1,C,
20,AFC,11,4,F1,C,
21,AFC,12,1,F1,C,
22,AFC,12,2,F1,C,
23,AFC,12,3,F1,C,
24,AFC,12,4,F1,C,
25,AFC,13,4,F1,B,05-Dec
26,AFC,14,2,F1,C,
27,AFC,14,3,F1,C,
28,AFC,14,4,F1,C,
29,AFC,15,3,F1,B,05-Dec
30,AFC,15,4,F1,B,05-Dec
31,AFC,18,3,F1,B,
32,AFC,18,4,F1,B,
33,AFC,19,1,F1,C,
34,AFC,19,2,F1,C,
35,AFC,19,3,F1,C,
36,AFC,19,4,F1,C,
37,AFC,24,1,F1,C,
38,AFC,24,2,F1,C,
39,AFC,24,3,F1,C,
40,AFC,24,4,F1,C,
41,AFC,25,3,F1,B,05-Dec
42,AFC,25,4,F1,B,05-Dec
43,AFC,27,3,F1,B,05-Dec
44,AFC,27,4,F1,B,05-Dec
45,AFC,28,3,F1,A,
46,AFC,28,4,F1,A,
47,AFC,29,1,F1,C,
48,AFC,29,2,F1,C,
49,AFC,29,3,F1,C,
50,AFC,29,4,F1,C,
51,AFC,30,1,F1,C,
52,AFC,30,2,F1,C,
53,AFC,30,3,F1,C,
54,AFC,30,4,F1,C,
55,AFC,42,3,F1,A,
56,AFC,42,4,F1,A,
57,AFC,43,1,F1,C,
58,AFC,43,2,F1,C,
59,AFC,43,3,F1,C,
60,AFC,43,4,F1,C,
61,AFC,46,1,F1,C,
62,AFC,46,2,F1,C,
63,AFC,46,3,F1,C,
64,AFC,46,4,F1,C,
65,AFC,47,1,F1,C,
66,AFC,47,2,F1,C,
67,AFC,47,3,F1,C,
68,AFC,47,4,F1,C,
69,AFC,48,1,F1,C,
70,AFC,48,2,F1,C,
71,AFC,48,3,F1,C,
72,AFC,48,4,F1,C,
73,AFC,49,1,F1,C,
74,AFC,49,2,F1,C,
75,AFC,49,3,F1,C,
76,AFC,49,4,F1,C,
77,AFC,50,3,F1,A,
78,AFC,50,4,F1,A,
79,AFC,51,3,F1,B,05-Dec
80,AFC,51,4,F1,B,05-Dec
81,AFC,54,1,F1,C,
82,AFC,54,2,F1,C,
83,AFC,54,3,F1,C,
84,AFC,54,4,F1,C,
85,AFC,55,4,F1,A,
86,AFC,56,1,F1,C,
87,AFC,56,2,F1,C,
88,AFC,56,3,F1,C,
89,AFC,56,4,F1,C,
90,AFC,57,1,F1,C,
91,AFC,57,2,F1,C,
92,AFC,57,3,F1,C,
93,AFC,57,4,F1,C,
94,AFC,59,1,F1,C,
95,AFC,59,2,F1,C,
96,AFC,59,3,F1,C,
97,AFC,59,4,F1,C,
98,AFC,60,1,F1,C,
99,AFC,60,2,F1,C,
100,AFC,60,3,F1,C,
101,AFC,60,4,F1,C,
102,AFC,63,3,F1,B,05-Dec
103,AFC,63,4,F1,B,05-Dec
104,AFC,64,3,F1,B,05-Dec
105,AFC,64,4,F1,B,05-Dec
106,AFC,66,3,F1,B,05-Dec
107,AFC,66,4,F1,B,
108,AFC,67,2,F1,A,
109,AFC,67,3,F1,A,
110,AFC,67,4,F1,A,
111,AFC,70,3,F1,A,
112,AFC,70,4,F1,A,
113,AFC,71,3,F1,A,
114,AFC,71,4,F1,A,
115,MC,6,2,F1,D,30-Nov
116,MC,6,3,F1,D,30-Nov
117,MC,6,4,F1,D,30-Nov
118,MC,9,2,F1,D,30-Nov
119,MC,9,3,F1,D,30-Nov
120,MC,9,4,F1,D,30-Nov
121,MC,13,2,F1,D,30-Nov
121,MC,13,3,F1,D,30-Nov
121,MC,13,4,F1,D,30-Nov
122,MC,14,2,F1,D,30-Nov
123,MC,14,3,F1,D,30-Nov
124,MC,14,4,F1,D,30-Nov
125,MC,15,3,F1,D,30-Nov
126,MC,15,4,F1,D,30-Nov
127,MC,17,2,F1,D,30-Nov
128,MC,17,3,F1,D,30-Nov
129,MC,17,4,F1,D,30-Nov
130,MC,20,2,F1,D,
131,MC,20,3,F1,D,
132,MC,20,4,F1,D,
133,MC,27,3,F1,D,
134,MC,27,4,F1,D,