population,line_id,type,unique_id,nano,qubit_measured,qubit_vol,qubit_actual,ul for 200 ng,ul water for 50 ul
AFC,1,F1,AFC-1-4-F1,421.42,307,2,30.7,6.51,43.49
AFC,1,F1,AFC-1-3-F1,100.8,136,2,13.6,14.71,35.29
AFC,2,F1,AFC-2-2-F1,819.29,408,2,40.8,4.9,45.1
AFC,2,F1,AFC-2-4-F1,323.93,348,2,34.8,5.75,44.25
AFC,3,F1,AFC-3-1-F1,228.83,246,2,24.6,8.13,41.87
AFC,3,F1,AFC-3-3-F1,383.35,236,2,23.6,8.47,41.53
AFC,5,F1,AFC-5-4-F1,401.69,311,2,31.1,6.43,43.57
AFC,5,F1,AFC-5-2-F1,192.67,234,2,23.4,8.55,41.45
AFC,6,F1,AFC-6-2-F1,287.26,261,2,26.1,7.66,42.34
AFC,6,F1,AFC-6-3-F1,142.38,174,2,17.4,11.49,38.51
AFC,7,F1,AFC-7-4-F1,561.51,386,2,38.6,5.18,44.82
AFC,7,F1,AFC-7-1-F1,380.43,314,2,31.4,6.37,43.63
AFC,8,F1,AFC-8-3-F1,385.91,320,2,32,6.25,43.75
AFC,8,F1,AFC-8-2-F1,354.06,304,2,30.4,6.58,43.42
AFC,12,F1,AFC-12-3-F1,560.9,286,2,28.6,6.99,43.01
AFC,13,F1,AFC-13-4-F1,383.63,353,2,35.3,5.67,44.33
AFC,14,F1,AFC-14-1-F1,626.38,550,2,55,3.64,46.36
AFC,14,F1,AFC-14-2-F1,461.17,455,2,45.5,4.4,45.6
AFC,15,F1,AFC-15-1-F1,300.36,324,2,32.4,6.17,43.83
AFC,18,F1,AFC-18-3-F1,411.99,370,2,37,5.41,44.59
AFC,19,F1,AFC-19-4-F1,344.15,343,2,34.3,5.83,44.17
AFC,19,F1,AFC-19-3-F1,487.72,293,2,29.3,6.83,43.17
AFC,24,F1,AFC-24-3-F1,277.93,360,2,36,5.56,44.44
AFC,24,F1,AFC-24-4-F1,506.73,237,2,23.7,8.44,41.56
AFC,25,F1,AFC-25-4-F1,123.6,149,2,14.9,13.42,36.58
AFC,27,F1,AFC-27-3-F1,284.54,306,2,30.6,6.54,43.46
AFC,27,F1,AFC-27-4-F1,243.02,263,2,26.3,7.6,42.4
AFC,28,F1,AFC-28-3-F1,388.14,428,2,42.8,4.67,45.33
AFC,28,F1,AFC-28-2-F1,253.92,373,2,37.3,5.36,44.64
AFC,29,F1,AFC-29-3-F1,180.815,252,2,25.2,7.94,42.06
AFC,30,F1,AFC-30-4-F1,400.33,416,2,41.6,4.81,45.19
AFC,30,F1,AFC-30-1-F1,379.47,297,2,29.7,6.73,43.27
AFC,42,F1,AFC-42-3-F1,418.49,500,2,50,4,46
AFC,42,F1,AFC-42-4-F1,474.43,490,2,49,4.08,45.92
AFC,43,F1,AFC-43-1-F1,144.63,266,2,26.6,7.52,42.48
AFC,43,F1,AFC-43-3-F1,51.875,72.7,2,7.27,27.51,22.49
AFC,46,F1,AFC-46-1-F1,396.48,483,2,48.3,4.14,45.86
AFC,46,F1,AFC-46-2-F1,NA,436,2,43.6,4.59,45.41
AFC,47,F1,AFC-47-3-F1,485.73,424,2,42.4,4.72,45.28
AFC,47,F1,AFC-47-2-F1,392.24,397,2,39.7,5.04,44.96
AFC,48,F1,AFC-48-4-F1,556.78,580,2,58,3.45,46.55
AFC,48,F1,AFC-48-2-F1,255.39,348,2,34.8,5.75,44.25
AFC,49,F1,AFC-49-1-F1,243.065,357,2,35.7,5.6,44.4
AFC,49,F1,AFC-49-4-F1,199.565,353,2,35.3,5.67,44.33
AFC,50,F1,AFC-50-4-F1,503.08,590,2,59,3.39,46.61
AFC,50,F1,AFC-50-3-F1,325.39,491,2,49.1,4.07,45.93
AFC,51,F1,AFC-51-3-F1,333.82,433,2,43.3,4.62,45.38
AFC,54,F1,AFC-54-3-F1,482.55,497,2,49.7,4.02,45.98
AFC,54,F1,AFC-54-2-F1,461.4,475,2,47.5,4.21,45.79
AFC,55,F1,AFC-55-3-F1,356.865,237,1,47.4,4.22,45.78
AFC,55,F1,AFC-55-4-F1,312.26,431,2,43.1,4.64,45.36
AFC,56,F1,AFC-56-4-F1,394.55,493,2,49.3,4.06,45.94
AFC,56,F1,AFC-56-1-F1,298.22,349,2,34.9,5.73,44.27
AFC,57,F1,AFC-57-3-F1,550.15,520,2,52,3.85,46.15
AFC,57,F1,AFC-57-1-F1,570.06,472,2,47.2,4.24,45.76
AFC,59,F1,AFC-59-1-F1,332.49,425,2,42.5,4.71,45.29
AFC,59,F1,AFC-59-2-F1,154.87,199,2,19.9,10.05,39.95
AFC,60,F1,AFC-60-4-F1,403.75,461,2,46.1,4.34,45.66
AFC,60,F1,AFC-60-3-F1,209.32,248,2,24.8,8.06,41.94
AFC,63,F1,AFC-63-4-F1,437.67,439,2,43.9,4.56,45.44
AFC,63,F1,AFC-63-1-F1,164.83,279,2,27.9,7.17,42.83
AFC,64,F1,AFC-64-3-F1,528.07,409,2,40.9,4.89,45.11
AFC,66,F1,AFC-66-3-F1,355.52,411,2,41.1,4.87,45.13
AFC,67,F1,AFC-67-2-F1,357.39,173,2,17.3,11.56,38.44
AFC,68,F1,AFC-68-3-F1,348.57,214,2,21.4,9.35,40.65
AFC,68,F1,AFC-68-4-F1,171.75,109,2,10.9,18.35,31.65
AFC,70,F1,AFC-70-3-F1,723.88,NA,1,79.3,2.52,47.48
AFC,70,F1,AFC-70-2-F1,629.79,NA,1,59.7,3.35,46.65
AFC,71,F1,AFC-71-3-F1,550.46,NA,1,67.1,2.98,47.02
AFC,71,F1,AFC-71-2-F1,532.01,270,1,54,3.7,46.3
AFC,12,L,AFC_F1_L12-4,171.85,238,2,23.8,8.4,41.6
AFC,12,L,AFC_F1_L12-2,130.25,138,2,13.8,14.49,35.51
AFC,14,L,AFC-L14-3,89.42,104,2,10.4,19.23,30.77
AFC,19,L,AFC_F1_L19-2,355.62,458,2,45.8,4.37,45.63
AFC,19,L,AFC_F1_L19-4,295,453,2,45.3,4.42,45.58
AFC,24,L,AFC_F1_L24-1,185.42,530,2,53,3.77,46.23
AFC,24,L,AFC_F1_L24-3,172.61,462,2,46.2,4.33,45.67
AFC,30,L,AFC-L30-4,201.36,403,2,40.3,4.96,45.04
AFC,30,L,AFC-L30-1,332.11,397,2,39.7,5.04,44.96
AFC,47,L,AFC-L47-4,270.66,337,2,33.7,5.93,44.07
AFC,47,L,AFC-L47-2,166.22,283,2,28.3,7.07,42.93
AFC,48,L,AFC_F1_L48-3,286.59,361,2,36.1,5.54,44.46
AFC,48,L,AFC_F1_L48-1,244.06,355,2,35.5,5.63,44.37
AFC,49,L,AFC-L49-3,199.9,313,2,31.3,6.39,43.61
AFC,49,L,AFC-L49-2,124.34,184,2,18.4,10.87,39.13
AFC,56,L,AFC-L56-3,270.64,329,2,32.9,6.08,43.92
AFC,56,L,AFC-L56-2,320.93,193,2,19.3,10.36,39.64
AFC,57,L,AFC-L57-1,382.01,458,2,45.8,4.37,45.63
AFC,57,L,AFC-L57-4,341.77,434,2,43.4,4.61,45.39
AFC,60,L,AFC-L60-3,665.18,409,2,40.9,4.89,45.11
AFC,60,L,AFC-L60-2,363.86,398,2,39.8,5.03,44.97
FL,14,L,FL-L7,277.57,372,2,37.2,5.38,44.62
FL,14,L,FL-L3,374.08,358,2,35.8,5.59,44.41
FL,14,L,FL-L2,287,337,2,33.7,5.93,44.07
FL,14,L,FL-L6,283.78,303,2,30.3,6.6,43.4
FL,14,L,FL-L11,339.7,204,2,20.4,9.8,40.2
FL,14,L,FL-L10,197.33,184,2,18.4,10.87,39.13
MC,1,F,MC_F1_F1_feb21,419.7,374,2,37.4,5.35,44.65
MC,2,F,MC_F2_F1_feb21,524.84,580,2,58,3.45,46.55
MC,3,F,MC_F3_F1_feb21,184.46,130,2,13,15.38,34.62
MC,4,F,MC_F4_F1_feb21,508.28,483,2,48.3,4.14,45.86
MC,5,F,MC_F5_F1_feb21,311.68,207,2,20.7,9.66,40.34
MC,6,F,MC_F6_F1_feb21,243.96,322,2,32.2,6.21,43.79
MC,7,F,MC_F7_F1_feb21,172.11,244,2,24.4,8.2,41.8
MC,8,F,MC_F8_F1_feb21,535.83,463,2,46.3,4.32,45.68
MC,9,F,MC_F9_F1_feb21,314.64,460,2,46,4.35,45.65
MC,11,F,MC_F11_F1_feb21,237.38,355,2,35.5,5.63,44.37
MC,12,F,MC_F12_F1_feb21,144.67,222,2,22.2,9.01,40.99
MC,13,F,MC_F13_F1_feb21,481.76,540,2,54,3.7,46.3
MC,14,F,MC_F14_F1_feb21,517.58,490,2,49,4.08,45.92
MC,15,F,MC_F15_F1_feb21,171.16,284,2,28.4,7.04,42.96
MC,18,F,MC_F18_F1_feb21,163.47,201,2,20.1,9.95,40.05
MC,19,F,MC_F1_F19,169.39,227,2,22.7,8.81,41.19
MC,20,F,MC_F1_F20,203.64,188,2,18.8,10.64,39.36
MC,22,F,MC_F1_F22,466.17,454,2,45.4,4.41,45.59
MC,23,F,MC_F1_F23,507.99,426,2,42.6,4.69,45.31
MC,25,F,MC_F1_F25,563.88,411,2,41.1,4.87,45.13
MC,26,F,MC_F1_F26,481.38,333,2,33.3,6.01,43.99
MC,6,F1,MC_F1_6-3,NA,530,2,53,3.77,46.23
MC,6,F1,MC_F1_6-5,NA,214,2,21.4,9.35,40.65
MC,9,F1,MC_F1_9-1,578.58,540,2,54,3.7,46.3
MC,9,F1,MC_F1_9-3,254.21,356,2,35.6,5.62,44.38
MC,13,F1,MC-13-4-F1,405.15,181,1,36.2,5.52,44.48
MC,13,F1,MC-13-1-F1,257.7033333,140,1,28,7.14,42.86
MC,14,F1,MC-14-4-F1,360.25,257,1,51.4,3.89,46.11
MC,14,F1,MC-14-1-F1,449.74,389,2,38.9,5.14,44.86
MC,15,F1,MC-15-4-F1,190.2,134,1,26.8,7.46,42.54
MC,15,F1,MC-15-2-F1,203.21,240,2,24,8.33,41.67
MC,17,F1,MC-17-2-F1,209.36,353,2,35.3,5.67,44.33
MC,17,F1,MC-17-5-F1,NA,50.2,2,5.02,39.84,10.16
MC,20,F1,MC-20-3-F1,274.82,111,2,11.1,18.02,31.98
MC,20,F1,MC-20-2-F1,133.935,108,2,10.8,18.52,31.48
MC,27,F1,MC-27-1-F1,16.42,26.6,1,5.32,37.59,12.41
MC,27,F1,MC-27-2-F1,17.74,25.3,1,5.06,39.53,10.47
MC,6,L,MC-L6-4,NA,474,2,47.4,4.22,45.78
MC,6,L,MC-L6-3,NA,351,2,35.1,5.7,44.3
MC,6,L,MC-L6-2,NA,292,2,29.2,6.85,43.15
MC,9,L,MC_F1_L9-1,241.05,375,2,37.5,5.33,44.67
MC,9,L,MC_F1_L9-3,276.9,271,2,27.1,7.38,42.62
MC,13,L,MC-L13-1,262.19,427,2,42.7,4.68,45.32
MC,13,L,MC-L13-4,305.8,398,2,39.8,5.03,44.97
MC,14,L,MC-L14-3,434.06,470,2,47,4.26,45.74
MC,14,L,MC-L14-1,393.02,452,2,45.2,4.42,45.58
MC,15,L,MC-L15-1,280.61,440,2,44,4.55,45.45
MC,15,L,MC-L15-3,376.11,436,2,43.6,4.59,45.41
MC,20,L,MC-L20-2,288.91,343,2,34.3,5.83,44.17
MC,20,L,MC-L20-3,200.21,285,2,28.5,7.02,42.98
MC,27,L,MC-L27-3,209.04,312,2,31.2,6.41,43.59
MC,1,M,MC-M01-F1-feb16,101.9,135,2,13.5,14.81,35.19
MC,4,M,MC-M04-F1-feb16,39.37,41.9,2,4.19,47.73,2.27
MC,5,M,MC-M05-F1-feb16,105.81,162,2,16.2,12.35,37.65
MC,6,M,MC-M06-F1-feb16,54.24,75.8,2,7.58,26.39,23.61
MC,7,M,MC-M07-F1-feb16,174.99,305,2,30.5,6.56,43.44
MC,19,M,MC_M19_F1_feb21,41.06,50.9,2,5.09,39.29,10.71
MC,21,M,MC_M21_F1_feb21,60.19,101,2,10.1,19.8,30.2
MC,27,M,MC_M27_F1_feb21,57.64,68.8,2,6.88,29.07,20.93
MC,28,M,MC_M28_F1_feb21,38.33,63.1,2,6.31,31.7,18.3
MV,225,L,MV-L7,365.22,387,2,38.7,5.17,44.83
MV,225,L,MV_F1_L-2,534.52,358,2,35.8,5.59,44.41
MV,225,L,MV-L4,263.75,324,2,32.4,6.17,43.83
MV,225,L,MV-L5,279.74,304,2,30.4,6.58,43.42
MV,225,L,MV_F1_L-11,327.28,253,2,25.3,7.91,42.09
MV,225,L,MV-L10,261.71,250,2,25,8,42
VY,VY,L,VY-L3,407.34,386,2,38.6,5.18,44.82
VY,VY,L,VY-L1,390.04,313,2,31.3,6.39,43.61
VY,VY,L,VY-L7,340.79,312,2,31.2,6.41,43.59
VY,VY,L,VY-L11,332.02,292,2,29.2,6.85,43.15
VY,VY,L,VY-L10,325.05,257,2,25.7,7.78,42.22
VY,VY,L,VY-L6,191.17,156,2,15.6,12.82,37.18